t,ex,ey,ez,ax,ay,az,mx,my,mz,gx,gy,gz
1613570924846,0.75,2.3125,0.1875,-0.64,0.8,10.22,-69.0625,68.6875,-47.6875,0.00333333,0.04,-0.0133333
1613570924949,0.75,2.375,0.1875,-3.2,0.81,17.61,-68.375,69.375,-48.375,-0.00666667,0.03,-0.00444444
1613570925052,0.75,2.375,0.1875,-2.07,1.02,16.47,-68.75,69.375,-48.375,-0.00777778,-0.0433333,0.0133333
1613570925159,0.75,2.3125,0.1875,1.88,-0.9,1.53,-69.75,69.0625,-47.6875,-0.00111111,-0.0155556,0.00777778
1613570925262,0.75,2.375,0.1875,1.74,0.09,2.97,-69.0625,69.0625,-46.5625,0.00222222,0.00333333,-0.0155556
1613570925369,0.75,2.4375,0.1875,-1.53,-0.22,13.33,-69.0625,69.6875,-47.6875,-0.00444444,0.0355556,-0.0111111
1613570925472,0.75,2.4375,0.1875,1.38,-0.72,2.58,-68.6875,69.6875,-47.6875,-0.00555556,-0.0244444,0.0122222
1613570925580,0.75,2.4375,0.1875,0.34,-0.61,7.58,-68.6875,68.6875,-48.0625,0.00333333,-0.0311111,0.00777778
1613570925683,0.8125,2.4375,0.1875,2.69,-0.88,-0.19,-69.0625,68.6875,-47.375,0.00333333,0.0222222,-0.0144444
1613570925790,0.8125,2.5,0.1875,-3.09,0.92,19.56,-69.375,69.0625,-47.375,0,0.0288889,-0.00888889
1613570925893,0.8125,2.5,0.1875,-0.58,-0.55,10.15,-69.0625,69.0625,-47.375,-0.00666667,-0.0533333,0.00888889
1613570925996,0.8125,2.5,0.1875,-0.84,0.89,11.55,-68.375,69.6875,-48.375,0.00555556,0,0.00111111
1613570926099,0.8125,2.5,0.1875,1.09,0.33,5.07,-69.0625,70.0625,-47.375,-0.00333333,0.0522222,-0.0111111
1613570926203,0.8125,2.5625,0.1875,-3.03,1.27,16.07,-69.0625,68.6875,-47.375,-0.00555556,0.00222222,-0.00333333
1613570926306,0.875,2.5625,0.1875,1.62,-0.82,1.88,-68.6875,67.875,-47,-0.00222222,-0.0322222,0.00777778
1613570926413,0.875,2.5625,0.1875,-3.67,1.35,19.31,-69.375,69.0625,-48.0625,0.00111111,-0.0177778,0.00333333
1613570926516,0.875,2.5625,0.1875,-1.81,0.09,14.53,-69.375,69.375,-47,0.00444444,0.0566667,-0.0155556
1613570926623,0.875,2.625,0.1875,-2.97,0.36,19.08,-68.6875,69.0625,-47.375,-0.01,0.0111111,-0.00888889
1613570926726,0.875,2.625,0.1875,0.1,-0.72,8.73,-68.375,69.0625,-47.6875,-0.00555556,-0.0466667,0.01
1613570926834,0.875,2.625,0.1875,-1.89,1.12,15.39,-69.0625,69.0625,-48.0625,-0.00111111,-0.0133333,0.00888889
1613570926937,0.875,2.6875,0.1875,-3.59,0.99,18.74,-69.0625,69.0625,-47.375,0.0122222,0.0422222,-0.0122222
1613570927045,0.875,2.75,0.25,2.05,-0.32,1.61,-69.0625,69.0625,-47.6875,-0.00444444,0.00777778,-0.00555556
1613570927148,0.875,2.75,0.1875,-3.11,0.48,17.6,-68.75,69.375,-47,-0.00888889,-0.0344444,0.0111111
1613570927251,0.875,2.75,0.1875,1.18,0.02,5.11,-69.0625,69.375,-48.0625,0.01,-0.00555556,0
1613570927356,0.9375,2.75,0.1875,-1.68,-0.26,13.09,-69.0625,69.375,-47.375,0.00666667,0.0222222,-0.01
1613570927459,0.9375,2.8125,0.1875,1.8,-0.87,1.94,-68.6875,68.6875,-47,-0.00666667,-0.00666667,-0.00222222
1613570927568,0.9375,2.8125,0.1875,1.63,-0.2,3.29,-69.375,68.6875,-47.6875,-0.0133333,-0.0322222,0.01
1613570927673,0.9375,2.8125,0.1875,2.46,-0.71,0.44,-69.0625,69.375,-48.0625,0.00333333,-0.0155556,0.00222222
1613570927778,0.9375,2.8125,0.1875,-0.2,0.96,7.43,-69.375,69.0625,-47,0.00777778,0.0144444,-0.0133333
1613570927882,0.9375,2.875,0.1875,0.05,-0.95,8.73,-69.375,68.25,-47.6875,-0.00333333,0.00666667,-0.00333333
1613570927989,1,2.875,0.1875,-1.21,0.71,13.23,-69.0625,68.25,-48.75,-0.0111111,-0.0277778,0.00888889
1613570928092,1,2.875,0.25,-3.04,0.84,17.52,-68.375,66.75,-48.0625,0.00444444,-0.00444444,0.00333333
1613570928199,1,2.875,0.25,-3.06,1.39,18.88,-69.0625,69.0625,-47.6875,0.00444444,0.0133333,-0.00888889
1613570928302,1,2.9375,0.25,-2.66,0.29,15.82,-68.75,67.5625,-48.75,-0.00666667,0.0177778,-0.00555556
1613570928405,1,3,0.25,0.19,0.42,6.84,-69.75,68.6875,-47.6875,-0.00666667,-0.0611111,0.00888889
1613570928510,1,3,0.25,-1.1,-0.29,12.12,-69.0625,69.6875,-47.375,0.00222222,-0.00333333,0.00444444
1613570928613,1,3,0.25,2.02,-0.94,1.61,-69.375,69.375,-47,0.00666667,0.04,-0.0133333
1613570928720,1,3,0.25,1.02,-0.79,3.9,-69.0625,68.6875,-47.6875,-0.00444444,0,-0.00666667
1613570928823,1,3,0.25,2.35,-0.56,0.89,-69.0625,68.6875,-46.5625,-0.00777778,-0.0277778,0.01
1613570928931,1.0625,3.0625,0.25,-2.93,0.48,17.77,-68.375,69.6875,-47,-0.0122222,-0.03,0.0133333
1613570929034,1.0625,3.0625,0.25,-0.36,-0.67,7.24,-68,69.375,-47.6875,0.00555556,0.0122222,-0.00666667
1613570929142,1.0625,3.125,0.25,-1.95,1.1,14.53,-69.375,69.375,-47,0.00555556,0.0211111,-0.0133333
1613570929245,1.0625,3.125,0.25,-3.54,0.82,18.96,-68.375,68.25,-46.5625,-0.00888889,0.0144444,-0.00222222
1613570929353,1.0625,3.125,0.25,-3.25,1.34,17.92,-69.0625,68.25,-47,-0.00666667,-0.0266667,0.0144444
1613570929456,1.0625,3.125,0.25,-2.65,0.15,15.31,-69.0625,68.6875,-46.1875,0.00555556,-0.00444444,0
1613570929559,1.125,3.125,0.25,0.31,0.8,6.93,-68.75,69.375,-48.0625,-0.00222222,0.0377778,-0.0144444
1613570929664,1.125,3.1875,0.25,-1.19,-0.45,11.82,-69.375,69.0625,-47.6875,-0.0111111,0,-0.00222222
1613570929767,1.125,3.25,0.25,2.46,-1.37,1.73,-69.0625,68.6875,-47.375,-0.00444444,-0.0455556,0.0122222
1613570929870,1.125,3.1875,0.3125,0.76,-0.72,5.27,-69.0625,68.6875,-48.0625,0.00333333,0.0277778,-0.0144444
1613570929976,1.125,3.25,0.3125,-2.07,1.13,14.67,-68.375,69.375,-48.0625,0.00777778,0.0388889,-0.0111111
1613570930079,1.125,3.25,0.3125,-2.79,0.31,17.29,-68.75,69.0625,-48.75,-0.01,-0.0211111,0.00666667
1613570930186,1.125,3.3125,0.3125,1.66,0.08,1.58,-69.0625,69.375,-48.0625,-0.00777778,-0.0333333,0.0122222
1613570930289,1.125,3.25,0.3125,-1.13,0.99,11.68,-69.75,69.0625,-47.6875,0.00222222,0.0188889,-0.00222222
1613570930396,1.125,3.3125,0.3125,0.87,0.33,7.1,-69.0625,69.0625,-47.375,0.00555556,0.05,-0.0133333
1613570930499,1.1875,3.375,0.3125,-2.48,1.35,15.49,-69.75,69.375,-47.375,-0.00666667,-0.0122222,-0.00111111
1613570930607,1.1875,3.375,0.3125,2.04,-1,1.93,-69.0625,69.6875,-47.6875,-0.0122222,-0.0344444,0.0111111
1613570930710,1.1875,3.375,0.3125,1.64,-0.01,3.12,-69.0625,69.375,-48.0625,0.00111111,-0.0133333,-0.00111111
1613570930813,1.1875,3.375,0.3125,-2.06,-0.02,14.02,-68.75,69.0625,-47.375,0.00222222,0.0311111,-0.00777778
1613570930919,1.1875,3.4375,0.3125,-3.39,0.95,20.32,-69.0625,69.375,-47,-0.00666667,0.0177778,-0.00555556
