t,ex,ey,ez
1613570885539,79.14,0.64,-0.42
1613570885539,79.14,0.64,-0.42
1613570885539,79.14,0.64,-0.42
1613570885539,79.14,0.64,-0.42
1613570885539,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885545,79.14,0.64,-0.42
1613570885545,79.14,0.64,-0.42
1613570885545,79.16,0.71,0.14
1613570885579,79.16,0.71,0.14
1613570885579,79.16,0.71,0.14
1613570885580,79.16,0.71,0.14
1613570885580,79.16,0.71,0.14
1613570885580,79.16,0.71,0.14
1613570885580,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885582,79.17,0.23,0.11
1613570885620,79.17,0.23,0.11
1613570885620,79.17,0.23,0.11
1613570885620,79.17,0.23,0.11
1613570885620,79.17,0.23,0.11
1613570885620,79.17,0.23,0.11
1613570885620,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885622,79.19,0.4,-0.17
1613570885660,79.19,0.4,-0.17
1613570885660,79.19,0.4,-0.17
1613570885660,79.19,0.4,-0.17
1613570885660,79.19,0.4,-0.17
1613570885660,79.19,0.4,-0.17
1613570885660,79.19,0.4,-0.17
1613570885661,79.19,0.4,-0.17
1613570885661,79.19,0.4,-0.17
1613570885661,79.19,0.4,-0.17
1613570885661,79.19,0.4,-0.17
1613570885661,79.19,0.4,-0.17
1613570885661,79.19,0.4,-0.17
1613570885661,79.19,0.4,-0.17
1613570885662,79.19,0.4,-0.17
1613570885662,79.19,0.4,-0.17
1613570885662,79.19,0.4,-0.17
1613570885662,79.19,0.4,-0.17
1613570885662,79.2,0.55,-0.46
1613570885699,79.2,0.55,-0.46
1613570885699,79.2,0.55,-0.46
1613570885699,79.2,0.55,-0.46
1613570885699,79.2,0.55,-0.46
1613570885699,79.2,0.55,-0.46
1613570885699,79.2,0.55,-0.46
1613570885700,79.2,0.55,-0.46
1613570885701,79.2,0.55,-0.46
1613570885701,79.2,0.55,-0.46
1613570885701,79.2,0.55,-0.46
1613570885701,79.2,0.55,-0.46
1613570885701,79.2,0.55,-0.46
1613570885701,79.2,0.55,-0.46
1613570885701,79.2,0.55,-0.46
1613570885701,79.2,0.55,-0.46
1613570885701,79.2,0.55,-0.46
1613570885701,79.2,0.55,-0.46
1613570885701,79.22,0.13,-0.07
1613570885739,79.22,0.13,-0.07
1613570885739,79.22,0.13,-0.07
1613570885739,79.22,0.13,-0.07
1613570885739,79.22,0.13,-0.07
1613570885739,79.22,0.13,-0.07
1613570885739,79.22,0.13,-0.07
1613570885741,79.22,0.13,-0.07
1613570885741,79.22,0.13,-0.07
1613570885741,79.22,0.13,-0.07
1613570885741,79.22,0.13,-0.07
1613570885741,79.22,0.13,-0.07
1613570885741,79.22,0.13,-0.07
1613570885741,79.22,0.13,-0.07
1613570885741,79.22,0.13,-0.07
1613570885741,79.22,0.13,-0.07
1613570885741,79.22,0.13,-0.07
1613570885741,79.22,0.13,-0.07
1613570885741,79.24,0.49,-0.16
1613570885779,79.24,0.49,-0.16
1613570885780,79.24,0.49,-0.16
1613570885780,79.24,0.49,-0.16
1613570885780,79.24,0.49,-0.16
1613570885780,79.24,0.49,-0.16
1613570885780,79.24,0.49,-0.16
1613570885781,79.24,0.49,-0.16
1613570885781,79.24,0.49,-0.16
1613570885781,79.24,0.49,-0.16
1613570885781,79.24,0.49,-0.16
1613570885781,79.24,0.49,-0.16
1613570885781,79.24,0.49,-0.16
1613570885781,79.24,0.49,-0.16
1613570885781,79.24,0.49,-0.16
1613570885781,79.24,0.49,-0.16
1613570885781,79.24,0.49,-0.16
1613570885781,79.24,0.49,-0.16
1613570885781,79.25,0.58,-0.47
1613570885820,79.25,0.58,-0.47
1613570885820,79.25,0.58,-0.47
1613570885820,79.25,0.58,-0.47
1613570885820,79.25,0.58,-0.47
1613570885820,79.25,0.58,-0.47
1613570885820,79.25,0.58,-0.47
1613570885821,79.25,0.58,-0.47
1613570885821,79.25,0.58,-0.47
1613570885821,79.25,0.58,-0.47
1613570885821,79.25,0.58,-0.47
1613570885821,79.25,0.58,-0.47
1613570885821,79.25,0.58,-0.47
1613570885821,79.25,0.58,-0.47
1613570885821,79.25,0.58,-0.47
1613570885822,79.25,0.58,-0.47
1613570885822,79.25,0.58,-0.47
1613570885822,79.25,0.58,-0.47
1613570885822,79.27,0.2,-0.03
1613570885860,79.27,0.2,-0.03
