t,ex,ey,ez,ax,ay,az,mx,my,mz,gx,gy,gz
1613558744363,0,-3.625,-2.9375,-0.62,0.5,9.66,-64,81.5,-48.6875,-0.00111111,0.00333333,0
1613558744468,0,-3.625,-2.9375,-0.6,0.48,9.69,-64.375,81.0625,-49.6875,0.00111111,-0.00111111,0
1613558744572,0,-3.625,-2.9375,-0.61,0.49,9.68,-65.0625,81.875,-49.6875,0.00111111,0.00111111,0.00111111
1613558744677,0,-3.625,-2.9375,-0.62,0.5,9.67,-64.75,81.5,-50.5,-0.00111111,0,0
1613558744784,0,-3.625,-2.9375,-0.61,0.53,9.68,-64.75,81.875,-49.6875,-0.00222222,-0.00444444,0.00222222
1613558744889,0,-3.625,-2.9375,-0.62,0.51,9.68,-64.375,81.5,-49.375,0,0.00222222,-0.00111111
1613558744996,0,-3.625,-2.9375,-0.63,0.51,9.7,-64,82.1875,-51.1875,-0.00111111,0,0
1613558745100,0,-3.625,-2.9375,-0.6,0.52,9.65,-64.75,82.1875,-48.6875,0.00111111,0,0
1613558745208,0,-3.625,-2.9375,-0.61,0.48,9.65,-64.375,82.5625,-49.6875,0,-0.00111111,0
1613558745312,0,-3.625,-2.9375,-0.62,0.52,9.7,-64.375,81.0625,-49.6875,0.00222222,-0.00111111,0
1613558745420,0,-3.625,-2.9375,-0.6,0.48,9.65,-64.75,82.1875,-50.0625,0.00111111,0,-0.00222222
1613558745524,0,-3.625,-2.9375,-0.59,0.51,9.69,-64.75,82.5625,-49.6875,0,0.00111111,0.00222222
1613558745630,0,-3.625,-2.9375,-0.61,0.5,9.7,-63.5625,81.0625,-50.0625,0,0,0.00111111
1613558745739,0,-3.625,-2.9375,-0.61,0.5,9.69,-64.375,81.0625,-49.375,0,0.00111111,0.00111111
1613558745845,0,-3.625,-2.9375,-0.62,0.5,9.68,-64,81.5,-50.5,0,0.00333333,-0.00111111
1613558745952,0,-3.625,-2.9375,-0.61,0.5,9.66,-64.375,81.875,-50.0625,0.00333333,0.00222222,-0.00111111
1613558746060,0,-3.625,-2.9375,-0.61,0.49,9.68,-65.0625,81.0625,-49.6875,0.00222222,0.00222222,-0.00111111
1613558746167,0,-3.625,-2.9375,-0.63,0.5,9.69,-64.75,80.375,-49.375,-0.00333333,0.00222222,-0.00222222
1613558746273,0,-3.625,-2.9375,-0.62,0.5,9.68,-64.375,81.875,-49.375,-0.00111111,0,0.00111111
1613558746377,0,-3.625,-2.9375,-0.61,0.5,9.69,-64.375,81.875,-49.375,-0.00222222,0.00222222,0.00111111
1613558746483,0,-3.625,-2.9375,-0.6,0.49,9.68,-64.75,81.875,-49.375,-0.00111111,-0.00111111,-0.00222222
